Title,Price,Ratings,Product Link
,"352,999",N/A,https://www.mega.pk/mobiles_products/24677/Google-Pixel-8-Pro-12GB-RAM-128GB-Storage-5G-Non-PTA.html
,"115,999",N/A,https://www.mega.pk/mobiles_products/24648/OnePlus-10T-8GB-Ram-128GB-Storage-Non-PTA-5G.html
,"439,999",N/A,https://www.mega.pk/mobiles_products/24629/Apple-iPhone-15-Pro-Max.html
,"295,999",N/A,https://www.mega.pk/mobiles_products/24628/Apple-iPhone-15.html
,"238,999",N/A,https://www.mega.pk/mobiles_products/24607/Nothing-Phone-2-12GB-RAM-512GB-Storage-NON-PTA.html
,"34,999",N/A,https://www.mega.pk/mobiles_products/24604/Tecno-Spark-10-4GB-RAM-128GB-Storage-PTA-Approved.html
,"359,999",N/A,https://www.mega.pk/mobiles_products/24591/Samsung-Galaxy-Z-Flip-5-8GB-RAM-256GB-Storage-Non-PTA.html
,"25,199",N/A,https://www.mega.pk/mobiles_products/24590/Xiaomi-Redmi-A2-Plus-3GB-RAM-64GB-Storage-PTA-Approved.html
,"329,999",N/A,https://www.mega.pk/mobiles_products/24589/Red-Magic-8S-Pro-16GB-RAM-512GB-Storage-NON-PTA.html
,"574,999",N/A,https://www.mega.pk/mobiles_products/24587/Samsung-Galaxy-Z-Fold-5-12GB-RAM-512GB-Storage.html
,"234,999",N/A,https://www.mega.pk/mobiles_products/24584/Nothing-Phone-2-12GB-RAM-256GB-Storage-NON-PTA.html
,"63,999",N/A,https://www.mega.pk/mobiles_products/24576/Tecno-Camon-20-Pro-8GB-RAM-256GB-Storage-PTA-Approved.html
,"52,999",N/A,https://www.mega.pk/mobiles_products/24575/Tecno-Camon-20-8GB-RAM-256GB-Storage-PTA-Approved.html
,"52,999",N/A,https://www.mega.pk/mobiles_products/24551/Infinix-Note-30-8GB-RAM-256GB-Storage-PTA-Approved.html
,"34,999",N/A,https://www.mega.pk/mobiles_products/24393/Tecno-Spark-10.html
,"394,999",N/A,https://www.mega.pk/mobiles_products/24204/Iphone-15-Pro.html
,"129,999",N/A,https://www.mega.pk/mobiles_products/23522/Nothing-Phone-1-8GB-RAM-256GB-Storage-Non-PTA-5G-Black.html
,"144,999",N/A,https://www.mega.pk/mobiles_products/23458/Oppo-F21-Pro-8GB-Ram-128GB-Storage-5G-PTA-Approved.html
,Coming Soon,N/A,https://www.mega.pk/mobiles_products/24672/Google-Pixel-8-Pro-8GB-RAM-128GB-Storage-5G-Non-PTA.html
,Coming Soon,N/A,https://www.mega.pk/mobiles_products/24671/Google-Pixel-8-8GB-RAM-128GB-Storage-5G-Non-PTA.html
,Coming Soon,N/A,https://www.mega.pk/mobiles_products/24670/Vivo-V29-5G.html
,Coming Soon,N/A,https://www.mega.pk/mobiles_products/24259/Vivo-V27-5G.html
,Coming Soon,N/A,https://www.mega.pk/mobiles_products/24114/Realme-GT3.html
,"57,999",N/A,https://www.mega.pk/mobiles_products/24666/Redmi-Note-12-8GB-RAM-128GB-Storage-PTA--Approved.html
,"27,999",N/A,https://www.mega.pk/mobiles_products/24665/Xiaomi-Redmi-12C-4GB-RAM-128GB-Storage.html
,"619,999",N/A,https://www.mega.pk/mobiles_products/24664/Apple-iPhone-15-Pro-Max-1TB-Storage-Dual-Sim-Non-PTA.html
,"525,000",N/A,https://www.mega.pk/mobiles_products/24663/Apple-iPhone-15-Pro-Max-512GB-Storage-Dual-Sim-Non-PTA.html
,"441,999",N/A,https://www.mega.pk/mobiles_products/24662/Apple-iPhone-15-Pro-Max-256GB-Storage-Dual-Sim-Non-PTA.html
,"619,999",N/A,https://www.mega.pk/mobiles_products/24661/Apple-iPhone-15-Pro-1TB-Storage-Dual-Sim-Non-PTA.html
,"389,999",N/A,https://www.mega.pk/mobiles_products/24659/Apple-iPhone-15-Pro-256GB-Storage-Dual-Sim-Non-PTA.html
,"284,999",N/A,https://www.mega.pk/mobiles_products/24653/Apple-iPhone-15-128GB-Storage-Dual-SIM-Non-PTA.html
,"37,999",N/A,https://www.mega.pk/mobiles_products/24650/Samsung-Galaxy-A14-4GB-RAM-64GB-Storage-PTA-Approved.html
